annee,arrond_id,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
2006,11,"CO, DE, TR",374,94475.1,17096454.0
2006,25,"CA, CO, DE",1426,122500.02,39201317.0
2006,9,CO,231,436901.52,59934781.0
2006,9,DE,15,2170.0,
2006,9,TR,360,122931.36,15319033.0
2006,3,CO,35,223800.6,28552985.0
2006,3,DE,23,3890.0,
2006,3,TR,929,381016.21,47583683.0
2006,27,"CA, CO, DE, TR",990,1492206.54,208799367.0
2006,12,CA,86,4887.0,766712.0
2006,12,CO,30,105853.0,74110000.0
2006,12,DE,12,1500.0,
2006,12,TR,272,97034.0,32023113.0
2006,16,"CO, DE, TR",765,181940.0,116639567.0
2006,6,CO,33,1581502.84,202562477.0
2006,6,DE,16,27555.0,
